Track;Artist;Album;Year;Tempo;Duration_Min;Genre;Popularity;ArtistID;GenreID;TimeID
This Is What You Came For;Calvin Harris;This Is What You Came For;2016;123962;3,70267E+16;Future House;84;18;3;25
Dr. Funk (Riva Starr Mo' Funk Mix);Carl Cox;Dr. Funk (Riva Starr Remixes);2006;126002;6007;Future House;42;19;3;15
Give Me Your Love - Valentino Kanzyani Mixshow;Carl Cox;Give Me Your Love;2005;13101;5,94822E+16;Tech House;1;19;1;14
I Want You (Forever) - Josh Butler Remix - Radio Edit;Carl Cox;I Want You (Forever) [Josh Butler Remix];2011;126016;4,09523E+16;Future House;57;19;3;20
The Latin Theme - Roel Salemink & Steve Mulder Remix;Carl Cox;The Latin Theme;2007;127984;733125;Future House;30;19;3;16
Cry Baby;Clean Bandit;Cry Baby;2018;118979;26181;House;75;20;8;27
Disconnect;Clean Bandit;Disconnect;2018;123972;420055;Future House;42;20;3;27
Extraordinary (feat. Sharna Bass);Clean Bandit;New Eyes;2018;126962;4,27793E+16;Future House;27;20;3;27
Mama (feat. Ellie Goulding);Clean Bandit;What Is Love? (Deluxe Edition);2016;102046;3,16622E+16;Deep House;51;20;5;25
Rather Be (feat. Jess Glynne);Clean Bandit;Rather Be (feat. Jess Glynne);2014;12097;3,79722E+16;House;72;20;8;23
Rockabye (feat. Sean Paul & Anne-Marie);Clean Bandit;What Is Love? (Deluxe Edition);2016;102002;4,18622E+16;Deep House;77;20;5;25
Solo (feat. Demi Lovato);Clean Bandit;What Is Love? (Deluxe Edition);2018;104966;3,71177E+16;Deep House;71;20;5;27
Symphony (feat. Zara Larsson);Clean Bandit;What Is Love? (Deluxe Edition);2017;122956;354555;House;77;20;8;26
Up Again (feat. Rae Morris) - Drumsound & Bassline Smith Remix;Clean Bandit;New Eyes;2015;171968;3,47748E+16;Hardstyle/Hardcore;16;20;4;24
Aerodynamic;Daft Punk;Discovery;2001;122902;3,54243E+16;House;60;21;8;10
Around the World;Daft Punk;Homework;1997;121294;7,15888E+16;House;72;21;8;6
Da Funk;Daft Punk;Homework;1997;111215;5478;Deep House;62;21;5;6
Digital Love;Daft Punk;Discovery;2001;124726;5,02288E+16;Future House;65;21;3;10
Get Lucky (feat. Pharrell Williams and Nile Rodgers);Daft Punk;Random Access Memories;2013;11605;6,16043E+16;House;73;21;8;22
Harder, Better, Faster, Stronger;Daft Punk;Discovery;2001;123474;3,74488E+16;Future House;70;21;3;10
Instant Crush (feat. Julian Casablancas);Daft Punk;Random Access Memories;2013;109942;5626;Deep House;75;21;5;22
Lose Yourself to Dance (feat. Pharrell Williams);Daft Punk;Random Access Memories;2013;100163;5,89822E+16;Deep House;68;21;5;22
One More Time;Daft Punk;Discovery;2000;122746;5,33928E+16;House;76;21;8;9
Robot Rock;Daft Punk;Human After All;2005;111926;4,79533E+16;Deep House;51;21;5;14
Feel the Beat;Darude;Before the Storm, Special Edition;2000;137822;432;Techno;52;22;2;9
Music - Original Radio Edit;Darude;Music;1999;137965;37571;Techno;26;22;2;8
Out Of Control (Back For More);Darude;Before the Storm, Special Edition;2009;136854;362755;Techno;30;22;2;18
Rush;Darude;Rush;1999;137968;62451;Techno;19;22;2;8
Sandstorm;Darude;Before the Storm, Special Edition;1999;136065;3,75822E+16;Techno;70;22;2;8
Touch Me Feel Me;Darude;Before the Storm;2005;104909;62451;Deep House;28;22;5;14
Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack);David Guetta;Listen (Deluxe);2015;85979;3,20933E+16;Downtempo;62;23;7;24
Just One Last Time (feat. Taped Rai);David Guetta;Nothing but the Beat 2.0;2012;128063;37851;Tech House;35;23;1;21
Memories (feat. Kid Cudi);David Guetta;One Love (Deluxe);2011;12998;350155;Tech House;67;23;1;20
Play Hard (feat. Ne-Yo & Akon);David Guetta;Nothing but the Beat 2.0;2012;130072;335;Tech House;62;23;1;21
Sexy Bitch (feat. Akon);David Guetta;One Love (Deluxe);2009;130011;3,26422E+16;Tech House;67;23;1;18
She Wolf (Falling to Pieces) [feat. Sia];David Guetta;Nothing but the Beat 2.0;2012;129971;3,70833E+16;Tech House;49;23;1;21
Titanium (feat. Sia);David Guetta;Nothing but the Beat;2011;12606;4084;Future House;56;23;3;20
When Love Takes Over (feat. Kelly Rowland);David Guetta;One Love (Deluxe);2009;129967;3,18333E+16;Tech House;58;23;1;18
Without You (feat. Usher);David Guetta;Nothing but the Beat 2.0;2011;127885;3,46888E+16;Future House;64;23;3;20
Ghosts 'n' Stuff - Extended Mix;deadmau5;5 Years of mau5;2008;127995;5,47888E+16;Future House;58;24;3;17
I Remember - John Summit Remix;deadmau5;I Remember (John Summit Remix);2020;126018;4;Future House;58;24;3;29
Moar Ghosts 'n' Stuff - Extended Mix;deadmau5;For Lack of A Better Name (The Extended Mixes);2010;127995;49531;Future House;38;24;3;19
Not Exactly - Reb?ke Remix;deadmau5;Not Exactly (Reb?ke Remix);2020;130007;3;Tech House;47;24;1;29
Professional Griefers - Vocal Mix;deadmau5;> album title goes here <;2011;128011;4,06243E+16;Tech House;50;24;1;20
Raise Your Weapon;deadmau5;5 Years of mau5;2010;140001;8,38182E+16;Trance;47;24;6;19
Sofi Needs a Ladder;deadmau5;5 Years of mau5;2011;128011;6,69368E+16;Tech House;47;24;1;20
Some Chords;deadmau5;5 Years of mau5;2010;128025;7,38533E+16;Tech House;45;24;1;19
Strobe - Radio Edit;deadmau5;Strobe;2009;128022;3,53443E+16;Tech House;49;24;1;18
