Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Cinema (feat. Gary Go) - Skrillex Remix,Benny Benassi,Electroman,2011,307986,4,0.636,0.983,6,-3.807,0,0.173,0.00901,0.00783,0.0683,0.434,145.077,61
My House (feat. Jean-Baptiste Kouame),Benny Benassi,Electroman,2008,206840,4,0.696,0.756,4,-3.75,1,0.0601,0.0244,0,0.254,0.503,125.959,16
"No Matter What You Do - Benny Benassi Presents the Biz, Sfact Video Edit",Benny Benassi,Benny Benassi - The Best Satisfaction,2008,207020,4,0.731,0.813,11,-2.323,1,0.175,0.43,0.00000391,0.16,0.665,130.023,31
Paradise - Radio Edit,Benny Benassi,Paradise (Radio Edit),2008,233168,4,0.592,0.865,11,-5.426,1,0.0494,0.00923,0,0.12,0.511,127.877,45
Satisfaction,Benny Benassi,Hypnotica,2002,285413,4,0.802,0.725,11,-3.392,1,0.102,0.165,0.0984,0.0782,0.347,129.984,56
Crush Me Down (You Spin Me Around),Blasterjaxx,Crush Me Down (You Spin Me Around),2014,121232,4,0.603,0.896,1,-4.485,1,0.128,0.014,0.000173,0.265,0.335,149.927,62
He's A Pirate,Blasterjaxx,He's A Pirate,2011,183555,4,0.296,0.951,2,-4.845,0,0.0757,0.000933,0.864,0.419,0.0509,134.967,50
Narco,Blasterjaxx,Narco,2018,208634,4,0.764,0.943,8,-4.047,1,0.0711,0.00784,0.104,0.0699,0.207,129.961,63
Shadows,Blasterjaxx,Shadows,2016,214400,4,0.563,0.912,0,-3.883,0,0.0371,0.0055,0.00000145,0.53,0.3,74.983,48
I Feel for You,Bob Sinclar,Champs Elysées,2006,350813,4,0.658,0.89,8,-4.432,0,0.0435,0.000164,0.012,0.337,0.504,129.974,48
Kiss My Eyes,Bob Sinclar,III,2008,260519,4,0.863,0.86,10,-4.968,0,0.0378,0.00109,0.0239,0.0523,0.917,126.98,33
Love Generation - Edit,Bob Sinclar,Love Generation (Edit),2005,204105,4,0.723,0.856,1,-3.569,1,0.0673,0.146,0.000155,0.0798,0.553,128.047,71
Rock This Party (Everybody Dance Now),Bob Sinclar,Rock This Party (Everybody Dance Now),2006,245466,4,0.893,0.823,5,-3.708,0,0.122,0.0722,0,0.0515,0.901,128.011,70
Samba in Hell - Erik Hagleton Remix,Bob Sinclar,Samba in Hell,2018,400026,4,0.731,0.943,1,-6.917,0,0.0501,0.00641,0.806,0.063,0.0831,126.021,8
Tik Tok,Bob Sinclar,Disco Crash,2006,186866,4,0.76,0.906,9,-2.977,0,0.132,0.126,0,0.348,0.747,130.044,36
Together,Bob Sinclar,Soundz of Freedom (My Ultimate Summer of Love Mix),2012,412483,4,0.647,0.916,6,-3.134,1,0.0381,0.000491,0.00414,0.124,0.352,128,36
"World, Hold On - FISHER Rework",Bob Sinclar,"World, Hold On (FISHER Rework)",2020,178304,4,0.772,0.882,1,-5.242,0,0.0589,0.00614,0.00627,0.136,0.891,127.006,68
